"tweet_text","topic"
"@united DM'd you 4 hrs ago at your request. No response to be found .... just like my bag.","USair"
"@SouthwestAir Free TV watching Daytona 500! #Boss http://t.co/SbGBN7oUXy","USair"
"@USAirways - so far so good this week. SAV to CLT boarded BEFORE the departure time (first time in 4 weeks). Perhaps an on time departure?!","USair"
"@AmericanAir you can't change my flights and not have enough operators to handle calls.... #unacceptable #AmericanAirlines","USair"
"@AmericanAir u r horrible.went online to Cancelled Flight flight-no button-4that.Called CS &amp;wait time 40 mins&amp;put in my #.800#called&amp;it hungupNOHELP","USair"
"@JetBlue you #fail. Snow coming to DC area. Tried to get on earlier flight. You refused. Now flight 6.5 hours delayed. Greedy and foolish.","USair"
"@usairways is your clt departures delayed? Hoping I can make my connection after a lengthy take off delay and endless taxi-ing here at clt","USair"
"@AmericanAir @Delta Maybe? Long trip, Late Flight night &amp; queues at baggage claims in two terminals, no good. I thought I paid for it 50$ instead.","USair"
"@USAirways Missed flight. Rude CSR. No flight till Tuesday. No answer on twitter. Help me out with a RT @pattonoswalt you're my only hope.","USair"
"@USAirways  #USAirways disappoints AGAIN! #Cancelled Flighted flights #Missed appointments #Promised refund is a lie","USair"
"@SouthwestAir Being old I will miss my connection and can sleep at OAK or get a hotel on my own dime rubs me the wrong way. I wasnâ€™t Late Flight.","USair"
"@SouthwestAir Got it covered. Thanks!","USair"
"@United just played the Most bizarre ""safety"" video I've ever seen... http://t.co/Hlm2Oks6xl","USair"
"@united I am signed up for notifications. This is the first trip I was not updated on. Not sure why this happened.","USair"
"@united Death in the family cannot make flight tomorrow. Phone rep quoted $440 per person fee, which is almost the cost of ticket. Help?","USair"
"@AmericanAir can I get a free ticket to Hawaii for being fabulous","USair"
"@SouthwestAir Hi! I âù_ï¸è your company and fly all the time. I was wondering if you could please share this link &amp; read! http://t.co/lO6LghPcdU","USair"
"@SouthwestAir are people in an exit row still supposed to give their verbal approvals? I was never asked on the flight I'm on...","USair"
"@USAirways Fuck you","USair"
"@SouthwestAir Any way you can help with entry to Vegas event? My Boyfriend &amp; I have been @Imaginedragons fans since 2009. They are awesome!","USair"
"@united well perhaps you could highlight where that is stated.  We travel between Canada &amp; USA on United with only Nexus","USair"
"@USAirways Don't blame it on weather. Rep at counter cost me entire day - not weather.  Printed Boarding Pass too Late Flight. #TakeResponsibility","USair"
"@united this may be the last time I fly your airline.","USair"
"@united You just tried to charge $750 for a $539 flight when I tried to make a change over the phone, not including $200 change fee. WTF?","USair"
"@SouthwestAir yes, very much so! I was looking forward to using your airlines for future flights but never again.","USair"
"@SouthwestAir it would be nice if I could talk to an agent rather than get caught up w/ a promotion &amp; then be hung up on","USair"
"@SouthwestAir Pls help. On hold 4 long time now. Travelling 4 business and flight 2 ORF from MCI was Cancelled Flightled.  Need to get out there ASAP.","USair"
"@AmericanAir Always love opening the upgrade email.","USair"
"@united Out of curiosity, when a flight is arranged, are pilots notified? There are a lot of ""pilots haven't arrived yet"" announcements.","USair"
"@united uh - I booked it through the UA website. Why the price change?","USair"
"@SouthwestAir @BernhardtJH I did eventually get through but that flight Cancelled Flightled.  Decided to drive but gave up holding to process refund","USair"
"@united I don't see how I need to spend an extra $100 bc of ur equipment failure.","USair"
"@USAirways would have been nice to be offered in flight credit. Especially since I'm staring at empty overhead room.","USair"
"@USAirways @shivadelrahim what about upgrades?","USair"
"@JetBlue done, thank you!","USair"
"@SouthwestAir thank you for great customer service. Trying to make it to San Antonio and your staff and alerts have been helpful. Boo ice!","USair"
"@united you really screwed up dealing mechanical failure from Maui to San Francisco. Poor communication bad help in getting connections","USair"
"@USAirways Frustrating days!No flights home, changed airlines. Thank you PHL USAirway employees &amp; @united for help getting me back to IAH.","USair"
"@united I am a loyal Premier Platinum member, but the lack of communication was really bad. Also, i donâ€™t see that it has taken off yet","USair"
"@USAirways yes thanks I have never seen anything like this and I come to Yuma all the time, big disappointment. There are 40+ still waiting","USair"
"@USAirways   US AIRWAYS DON'T CARE FOR CUSTOMERS. Worst experience today with US airways.. Myself, wife and toddler","USair"
"@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj","USair"
"@SouthwestAir thank you :)","USair"
"@united since bulkhead seats cannot have bags on floor, why don't u reserve o/head space above those seats? In 1B on UA246 - not impressed","USair"
"@SouthwestAir Any plans to make the southwest app for Android not crappy?","USair"
"@SouthwestAir really enjoying sitting at BWI with the door wide open and the a/c on as they fix a ""baggage error"" #sarcasm","USair"
"@JetBlue Gary who is serving us at FLL airport counter is really TRUE BLUE! Makes me feel at home even when a JetBlue flight is delayedl","USair"
"@SouthwestAir I'm not sure I did the messaging part right. Please let me know if you received it.","USair"
